#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (1.994480662564137578e+08+0.000000000000000000e+00j)  (-2.494787471530459821e+08+1.150088835758472532e+08j)
 (2.004503178456419706e+08+0.000000000000000000e+00j)  (-2.471556965843566358e+08+1.193650088826189488e+08j)
 (2.014525694348701835e+08+0.000000000000000000e+00j)  (-2.447558319520397186e+08+1.236743765246544480e+08j)
 (2.024548210240983665e+08+0.000000000000000000e+00j)  (-2.422800939299031496e+08+1.279356194632898122e+08j)
 (2.034570726133265793e+08+0.000000000000000000e+00j)  (-2.397294477300153673e+08+1.321473896139736921e+08j)
 (2.044593242025547922e+08+0.000000000000000000e+00j)  (-2.371048827196564972e+08+1.363083582902289629e+08j)
 (2.054615757917830050e+08+0.000000000000000000e+00j)  (-2.344074120301789939e+08+1.404172166398426890e+08j)
 (2.064638273810112178e+08+0.000000000000000000e+00j)  (-2.316380721579360664e+08+1.444726760731364191e+08j)
 (2.074660789702394307e+08+0.000000000000000000e+00j)  (-2.287979225574387312e+08+1.484734686831705570e+08j)
 (2.084683305594676435e+08+0.000000000000000000e+00j)  (-2.258880452269053459e+08+1.524183476577423215e+08j)
 (2.094705821486958563e+08+0.000000000000000000e+00j)  (-2.229095442863702774e+08+1.563060876830374599e+08j)
 (2.104728337379240692e+08+0.000000000000000000e+00j)  (-2.198635455485211611e+08+1.601354853388015926e+08j)
 (2.114750853271522820e+08+0.000000000000000000e+00j)  (-2.167511960824341476e+08+1.639053594848992825e+08j)
 (2.124773369163804650e+08+0.000000000000000000e+00j)  (-2.135736637703841627e+08+1.676145516391315460e+08j)
 (2.134795885056086779e+08+0.000000000000000000e+00j)  (-2.103321368579032421e+08+1.712619263461891711e+08j)
 (2.144818400948368907e+08+0.000000000000000000e+00j)  (-2.070278234972669184e+08+1.748463715376188755e+08j)
 (2.154840916840651035e+08+0.000000000000000000e+00j)  (-2.036619512845896184e+08+1.783667988826859593e+08j)
 (2.164863432732933164e+08+0.000000000000000000e+00j)  (-2.002357667907097638e+08+1.818221441300187409e+08j)
 (2.174885948625215292e+08+0.000000000000000000e+00j)  (-1.967505350860521197e+08+1.852113674399254620e+08j)
 (2.184908464517497420e+08+0.000000000000000000e+00j)  (-1.932075392596512437e+08+1.885334537072767615e+08j)
 (2.194930980409779549e+08+0.000000000000000000e+00j)  (-1.896080799325264990e+08+1.917874128748511970e+08j)
 (2.204953496302061677e+08+0.000000000000000000e+00j)  (-1.859534747655982375e+08+1.949722802370445728e+08j)
 (2.214976012194343805e+08+0.000000000000000000e+00j)  (-1.822450579623371363e+08+1.980871167338487506e+08j)
 (2.224998528086625636e+08+0.000000000000000000e+00j)  (-1.784841797663407922e+08+2.011310092350082397e+08j)
 (2.235021043978907764e+08+0.000000000000000000e+00j)  (-1.746722059540324807e+08+2.041030708142669201e+08j)
 (2.245043559871189892e+08+0.000000000000000000e+00j)  (-1.708105173226788938e+08+2.070024410136227906e+08j)
 (2.255066075763472021e+08+0.000000000000000000e+00j)  (-1.669005091739257574e+08+2.098282860975093246e+08j)
 (2.265088591655754149e+08+0.000000000000000000e+00j)  (-1.629435907930496931e+08+2.125797992968299389e+08j)
 (2.275111107548036277e+08+0.000000000000000000e+00j)  (-1.589411849241277575e+08+2.152562010427726507e+08j)
 (2.285133623440318406e+08+0.000000000000000000e+00j)  (-1.548947272413273156e+08+2.178567391903377771e+08j)
 (2.295156139332600534e+08+0.000000000000000000e+00j)  (-1.508056658165174425e+08+2.203806892315155864e+08j)
 (2.305178655224882662e+08+0.000000000000000000e+00j)  (-1.466754605834079385e+08+2.228273544980535805e+08j)
 (2.315201171117164791e+08+0.000000000000000000e+00j)  (-1.425055827984197438e+08+2.251960663537591398e+08j)
