#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (1.683782669903392494e+08+0.000000000000000000e+00j)  (-1.075465044923876512e+01-5.920564312930931550e+01j)
 (1.693805185795674622e+08+0.000000000000000000e+00j)  (-1.110438057544807045e+01-5.899412371950352707e+01j)
 (1.703827701687956750e+08+0.000000000000000000e+00j)  (-1.077899446112076198e+01-5.877608742738944869e+01j)
 (1.713850217580238879e+08+0.000000000000000000e+00j)  (-1.078738810262527359e+01-5.914119273402437926e+01j)
 (1.723872733472521007e+08+0.000000000000000000e+00j)  (-1.112859960146058924e+01-5.892684460493104837e+01j)
 (1.733895249364802837e+08+0.000000000000000000e+00j)  (-1.080495961018463369e+01-5.871835187157861213e+01j)
 (1.743917765257084966e+08+0.000000000000000000e+00j)  (-1.082059406485178421e+01-5.907802838730957973e+01j)
 (1.753940281149367094e+08+0.000000000000000000e+00j)  (-1.115346007142143314e+01-5.886098999428233469e+01j)
 (1.763962797041649222e+08+0.000000000000000000e+00j)  (-1.083158197122179622e+01-5.866180961705121888e+01j)
 (1.773985312933931351e+08+0.000000000000000000e+00j)  (-1.085423577569799569e+01-5.901614397850391214e+01j)
 (1.784007828826213479e+08+0.000000000000000000e+00j)  (-1.117892455798826035e+01-5.879654958927809361e+01j)
 (1.794030344718495607e+08+0.000000000000000000e+00j)  (-1.085882788879398753e+01-5.860645968127254690e+01j)
 (1.804052860610777736e+08+0.000000000000000000e+00j)  (-1.088829053458575125e+01-5.895553123280152619e+01j)
 (1.814075376503059864e+08+0.000000000000000000e+00j)  (-1.120496223151707760e+01-5.873350855622658884e+01j)
 (1.824097892395341992e+08+0.000000000000000000e+00j)  (-1.088666712836146111e+01-5.855229648894709982e+01j)
 (1.834120408287623823e+08+0.000000000000000000e+00j)  (-1.092273724751332331e+01-5.889617887694205223e+01j)
 (1.844142924179905951e+08+0.000000000000000000e+00j)  (-1.123154359663083746e+01-5.867185002846458275e+01j)
 (1.854165440072188079e+08+0.000000000000000000e+00j)  (-1.091506957264424216e+01-5.849931301332493661e+01j)
 (1.864187955964470208e+08+0.000000000000000000e+00j)  (-1.095755433063041195e+01-5.883807689542005903e+01j)
 (1.874210471856752336e+08+0.000000000000000000e+00j)  (-1.125864131566569171e+01-5.861156038627616738e+01j)
 (1.884232987749034464e+08+0.000000000000000000e+00j)  (-1.094400985230400636e+01-5.844750401700261477e+01j)
 (1.894255503641316593e+08+0.000000000000000000e+00j)  (-1.099272506668785709e+01-5.878121482672528941e+01j)
 (1.904278019533598721e+08+0.000000000000000000e+00j)  (-1.128623178022394669e+01-5.855262409183790595e+01j)
 (1.914300535425880849e+08+0.000000000000000000e+00j)  (-1.097346422038079439e+01-5.839686208708393167e+01j)
 (1.924323051318162680e+08+0.000000000000000000e+00j)  (-1.102823305650432495e+01-5.872558191473076761e+01j)
 (1.934345567210444808e+08+0.000000000000000000e+00j)  (-1.131429285098380255e+01-5.849502690183199860e+01j)
 (1.944368083102726936e+08+0.000000000000000000e+00j)  (-1.100341161039063742e+01-5.834738074386959994e+01j)
 (1.954390598995009065e+08+0.000000000000000000e+00j)  (-1.106406486864951866e+01-5.867116788591285115e+01j)
 (1.964413114887291193e+08+0.000000000000000000e+00j)  (-1.134280585188703938e+01-5.843875445907845290e+01j)
 (1.974435630779573321e+08+0.000000000000000000e+00j)  (-1.103383413594989548e+01-5.829905217444009935e+01j)
