#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (4.260122893689997792e+08+0.000000000000000000e+00j)  (-1.514325446394182650e+00+5.542533337557252748e-01j)
 (4.280123470655678511e+08+0.000000000000000000e+00j)  (4.097951917295338475e+00-5.779482489560517244e+00j)
 (4.300124047621359229e+08+0.000000000000000000e+00j)  (-1.652732212515723442e-01-1.290955654500332450e+01j)
 (4.320124624587039948e+08+0.000000000000000000e+00j)  (-8.249627706900588109e+00-1.101203108523395358e+01j)
 (4.340125201552720666e+08+0.000000000000000000e+00j)  (-9.040266518116764516e+00-2.714334560137342311e+00j)
 (4.360125778518401980e+08+0.000000000000000000e+00j)  (-1.542558005536740273e+00+7.212833695885336738e-01j)
 (4.380126355484082699e+08+0.000000000000000000e+00j)  (3.969424088596896105e+00-5.150360829134579710e+00j)
 (4.400126932449763417e+08+0.000000000000000000e+00j)  (1.138136698145921916e-01-1.205807867852433191e+01j)
 (4.420127509415444136e+08+0.000000000000000000e+00j)  (-7.635948475497506216e+00-1.048202051621801800e+01j)
 (4.440128086381124854e+08+0.000000000000000000e+00j)  (-8.620577880800897930e+00-2.598455532832026460e+00j)
 (4.460128663346805573e+08+0.000000000000000000e+00j)  (-1.559845969457069881e+00+8.886475595956652151e-01j)
 (4.480129240312486291e+08+0.000000000000000000e+00j)  (3.877296959055090753e+00-4.566960725203089488e+00j)
 (4.500129817278167009e+08+0.000000000000000000e+00j)  (3.936913710338607042e-01-1.128845518682144977e+01j)
 (4.520130394243847728e+08+0.000000000000000000e+00j)  (-7.066813720043114699e+00-1.001068267937756495e+01j)
 (4.540130971209528446e+08+0.000000000000000000e+00j)  (-8.239053150603416142e+00-2.490746145196899075e+00j)
 (4.560131548175209165e+08+0.000000000000000000e+00j)  (-1.567609857887481306e+00+1.059078668291977721e+00j)
 (4.580132125140889883e+08+0.000000000000000000e+00j)  (3.819020891961308006e+00-4.019649833835436503e+00j)
 (4.600132702106570601e+08+0.000000000000000000e+00j)  (6.779397906495578940e-01-1.058825069335985880e+01j)
 (4.620133279072251320e+08+0.000000000000000000e+00j)  (-6.534201158995842640e+00-9.590568740780737400e+00j)
 (4.640133856037932038e+08+0.000000000000000000e+00j)  (-7.890845640948202622e+00-2.389385182584277789e+00j)
 (4.660134433003612757e+08+0.000000000000000000e+00j)  (-1.566915178769930028e+00+1.235597404123844445e+00j)
 (4.680135009969293475e+08+0.000000000000000000e+00j)  (3.793125922779982506e+00-3.499760720863141383e+00j)
 (4.700135586934974194e+08+0.000000000000000000e+00j)  (9.703233842069274306e-01-9.946966449664516929e+00j)
 (4.720136163900654912e+08+0.000000000000000000e+00j)  (-6.031054572660141666e+00-9.215609293029077165e+00j)
 (4.740136740866335630e+08+0.000000000000000000e+00j)  (-7.571934935830237023e+00-2.292682684652194158e+00j)
 (4.760137317832016349e+08+0.000000000000000000e+00j)  (-1.558503375292395354e+00+1.421379922480528357e+00j)
 (4.780137894797697067e+08+0.000000000000000000e+00j)  (3.799039790361672164e+00-2.999398629793693871e+00j)
 (4.800138471763377786e+08+0.000000000000000000e+00j)  (1.274776379749217980e+00-9.355643885948236260e+00j)
 (4.820139048729058504e+08+0.000000000000000000e+00j)  (-5.551138935419298370e+00-8.880776570675326553e+00j)
 (4.840139625694739223e+08+0.000000000000000000e+00j)  (-7.279012843173113367e+00-2.198825518919385491e+00j)
 (4.860140202660419941e+08+0.000000000000000000e+00j)  (-1.542714393538520801e+00+1.620093321940090592e+00j)
 (4.880140779626101255e+08+0.000000000000000000e+00j)  (3.837329579163650362e+00-2.511026059738043159e+00j)
 (4.900141356591781974e+08+0.000000000000000000e+00j)  (1.595865789571498494e+00-8.806631755664275474e+00j)
 (4.920141933557462692e+08+0.000000000000000000e+00j)  (-5.088635069499277463e+00-8.582223178398937335e+00j)
 (4.940142510523143411e+08+0.000000000000000000e+00j)  (-7.009475038365129862e+00-2.106198471846501885e+00j)
