#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (2.876945983072531819e+08+0.000000000000000000e+00j)  (3.801199624385618758e+00+1.516340660804268836e+01j)
 (2.896924774621646404e+08+0.000000000000000000e+00j)  (6.214939428864325599e+00+7.572101924653684701e-02j)
 (2.916903566170761585e+08+0.000000000000000000e+00j)  (-5.631575036449431693e+00-7.603897154282631909e+00j)
 (2.936882357719876170e+08+0.000000000000000000e+00j)  (-1.572763557885036612e+01+1.052418591630589415e-03j)
 (2.956861149268990755e+08+0.000000000000000000e+00j)  (-1.157980895927212650e+01+1.122572738023738381e+01j)
 (2.976839940818105936e+08+0.000000000000000000e+00j)  (5.833459401194194260e-01+1.087365556629792707e+01j)
 (2.996818732367220521e+08+0.000000000000000000e+00j)  (4.941884996247660311e+00-6.115565239192338742e-01j)
 (3.016797523916335106e+08+0.000000000000000000e+00j)  (-3.484564556406226643e+00-8.761662048717935747e+00j)
 (3.036776315465450287e+08+0.000000000000000000e+00j)  (-1.324759856131105806e+01-4.125484364089535561e+00j)
 (3.056755107014564872e+08+0.000000000000000000e+00j)  (-1.182915098950671151e+01+6.085953365197945608e+00j)
 (3.076733898563680053e+08+0.000000000000000000e+00j)  (-1.547177668065955913e+00+7.973232041199465492e+00j)
 (3.096712690112794638e+08+0.000000000000000000e+00j)  (4.074783970246449449e+00-1.079000793105064027e+00j)
 (3.116691481661909223e+08+0.000000000000000000e+00j)  (-1.970692176251700234e+00-9.538430651806473648e+00j)
 (3.136670273211024404e+08+0.000000000000000000e+00j)  (-1.144514066819080433e+01-7.025974995250014565e+00j)
 (3.156649064760138988e+08+0.000000000000000000e+00j)  (-1.196199471746001208e+01+2.382109935531961931e+00j)
 (3.176627856309253573e+08+0.000000000000000000e+00j)  (-3.081476844955190586e+00+5.839267170507981497e+00j)
 (3.196606647858368754e+08+0.000000000000000000e+00j)  (3.437157221453341460e+00-1.423743719828971077e+00j)
 (3.216585439407483339e+08+0.000000000000000000e+00j)  (-8.210720870059539100e-01-1.010144964804514167e+01j)
 (3.236564230956597924e+08+0.000000000000000000e+00j)  (-1.004420299381068205e+01-9.213796765952409373e+00j)
 (3.256543022505713105e+08+0.000000000000000000e+00j)  (-1.203160890188741838e+01-4.673692500603520705e-01j)
 (3.276521814054827690e+08+0.000000000000000000e+00j)  (-4.257569619914975512e+00+4.170811150764095920e+00j)
 (3.296500605603942871e+08+0.000000000000000000e+00j)  (2.941344979756010503e+00-1.693981145629811502e+00j)
 (3.316479397153057456e+08+0.000000000000000000e+00j)  (1.013541852952436484e-01-1.053628710312901084e+01j)
 (3.336458188702172041e+08+0.000000000000000000e+00j)  (-8.901064882903840569e+00-1.095720454259933341e+01j)
 (3.356436980251287222e+08+0.000000000000000000e+00j)  (-1.206693605111032852e+01-2.772784962735915126e+00j)
 (3.376415771800401807e+08+0.000000000000000000e+00j)  (-5.205535077249438203e+00+2.804215172591292493e+00j)
 (3.396394563349516392e+08+0.000000000000000000e+00j)  (2.538388503399453544e+00-1.916042684515771644e+00j)
 (3.416373354898631573e+08+0.000000000000000000e+00j)  (8.740225684071959433e-01-1.089078952981251902e+01j)
 (3.436352146447746158e+08+0.000000000000000000e+00j)  (-7.932832670379384332e+00-1.240999062630292471e+01j)
 (3.456330937996861339e+08+0.000000000000000000e+00j)  (-1.208444433045986521e+01-4.715237116789457339e+00j)
 (3.476309729545975924e+08+0.000000000000000000e+00j)  (-6.002092573756415028e+00+1.642348316147632437e+00j)
 (3.496288521095090508e+08+0.000000000000000000e+00j)  (2.199203844662747542e+00-2.105990025961418155e+00j)
 (3.516267312644205689e+08+0.000000000000000000e+00j)  (1.544492617202644080e+00-1.119451446674846729e+01j)
 (3.536246104193320274e+08+0.000000000000000000e+00j)  (-7.088115557876208506e+00-1.366774352085544564e+01j)
 (3.556224895742434859e+08+0.000000000000000000e+00j)  (-1.209457675820913636e+01-6.408601991533747544e+00j)
 (3.576203687291550040e+08+0.000000000000000000e+00j)  (-6.696160876654308147e+00+6.234137371764385538e-01j)
 (3.596182478840664625e+08+0.000000000000000000e+00j)  (1.904963875340769164e+00-2.274092388957038136e+00j)
 (3.616161270389779210e+08+0.000000000000000000e+00j)  (2.143697702558228446e+00-1.146657741195335056e+01j)
 (3.636140061938894391e+08+0.000000000000000000e+00j)  (-6.333011652338334407e+00-1.479328421558988715e+01j)
 (3.656118853488008976e+08+0.000000000000000000e+00j)  (-1.210416477188447537e+01-7.928640625359565597e+00j)
 (3.676097645037124157e+08+0.000000000000000000e+00j)  (-7.320549104115460004e+00-2.942132923959487889e-01j)
 (3.696076436586238742e+08+0.000000000000000000e+00j)  (1.642891045384644144e+00-2.427431369599442501e+00j)
 (3.716055228135353327e+08+0.000000000000000000e+00j)  (2.692799945580185650e+00-1.172018081329908767e+01j)
 (3.736034019684468508e+08+0.000000000000000000e+00j)  (-5.644146209050359353e+00-1.583015669337894593e+01j)
 (3.756012811233583093e+08+0.000000000000000000e+00j)  (-1.211809280410756351e+01-9.328257547000186278e+00j)
