#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (2.540073274641454220e+08+0.000000000000000000e+00j)  (-7.259923965520872002e+01-3.653123905089179146e+01j)
 (2.560073851607134938e+08+0.000000000000000000e+00j)  (5.027740525259913795e+01-1.734128955924080273e+01j)
 (2.580074428572815657e+08+0.000000000000000000e+00j)  (8.239292280509847899e+01-9.564880661551069352e+01j)
 (2.600075005538496375e+08+0.000000000000000000e+00j)  (1.675500502520394264e+01-1.341027011301461869e+02j)
 (2.620075582504177094e+08+0.000000000000000000e+00j)  (-4.174588464691144907e+01-8.357404040731832140e+01j)
 (2.640076159469857812e+08+0.000000000000000000e+00j)  (-2.212307747863545870e+01-1.448982690469169832e+01j)
 (2.660076736435538530e+08+0.000000000000000000e+00j)  (3.738240815176300913e+01-7.085195927472151212e+00j)
 (2.680077313401219249e+08+0.000000000000000000e+00j)  (5.668755973897366118e+01-5.263771534426658860e+01j)
 (2.700077890366899967e+08+0.000000000000000000e+00j)  (1.909570270048949325e+01-7.945289945900826467e+01j)
 (2.720078467332580686e+08+0.000000000000000000e+00j)  (-1.825584276991202159e+01-5.150080045524536132e+01j)
 (2.740079044298261404e+08+0.000000000000000000e+00j)  (-6.885183879801332729e+00-8.003434475923874913e+00j)
 (2.760079621263942122e+08+0.000000000000000000e+00j)  (3.297838726550952515e+01-3.365489286528884794e+00j)
 (2.780080198229622841e+08+0.000000000000000000e+00j)  (4.694968785420724089e+01-3.582824689916333938e+01j)
 (2.800080775195303559e+08+0.000000000000000000e+00j)  (2.029268709774541790e+01-5.632518900850002552e+01j)
 (2.820081352160984874e+08+0.000000000000000000e+00j)  (-7.492558357395883384e+00-3.694928448704571622e+01j)
 (2.840081929126665592e+08+0.000000000000000000e+00j)  (4.807809726971674080e-01-4.834922577795487619e+00j)
 (2.860082506092346311e+08+0.000000000000000000e+00j)  (3.076319686747059734e+01-1.372725947727694518e+00j)
 (2.880083083058027029e+08+0.000000000000000000e+00j)  (4.184456053144840837e+01-2.679388993802329466e+01j)
 (2.900083660023707747e+08+0.000000000000000000e+00j)  (2.103152987153394093e+01-4.348943309036292959e+01j)
 (2.920084236989388466e+08+0.000000000000000000e+00j)  (-1.297195997033879111e+00-2.859550824569739902e+01j)
 (2.940084813955069184e+08+0.000000000000000000e+00j)  (4.831753550587596813e+00-2.915058985050130058e+00j)
 (2.960085390920749903e+08+0.000000000000000000e+00j)  (2.943547136453678092e+01-8.490714544567655453e-02j)
 (2.980085967886430621e+08+0.000000000000000000e+00j)  (3.871465077339916405e+01-2.110391737182485983e+01j)
 (3.000086544852111340e+08+0.000000000000000000e+00j)  (2.154777504011942568e+01-3.528493437551842504e+01j)
 (3.020087121817792058e+08+0.000000000000000000e+00j)  (2.744015251184904081e+00-2.314436432598635207e+01j)
 (3.040087698783472776e+08+0.000000000000000000e+00j)  (7.710798046947890505e+00-1.598688572612538383e+00j)
 (3.060088275749153495e+08+0.000000000000000000e+00j)  (2.855550406678557351e+01+8.476098393884589077e-01j)
 (3.080088852714834213e+08+0.000000000000000000e+00j)  (3.661028062799194061e+01-1.715581473646939870e+01j)
 (3.100089429680514932e+08+0.000000000000000000e+00j)  (2.194110582127854769e+01-2.955913331626186036e+01j)
 (3.120090006646195650e+08+0.000000000000000000e+00j)  (5.599513804405432005e+00-1.928529890214994680e+01j)
 (3.140090583611876369e+08+0.000000000000000000e+00j)  (9.761451440085528120e+00-6.194708164833094832e-01j)
 (3.160091160577557087e+08+0.000000000000000000e+00j)  (2.793328130227763495e+01+1.577086762642782913e+00j)
 (3.180091737543237805e+08+0.000000000000000000e+00j)  (3.510761465168931750e+01-1.422902688200684551e+01j)
 (3.200092314508918524e+08+0.000000000000000000e+00j)  (2.226064401261877634e+01-2.531442054549306420e+01j)
 (3.220092891474599242e+08+0.000000000000000000e+00j)  (7.733326279079064669e+00-1.639373989426427158e+01j)
