#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (4.060117124033190608e+08+0.000000000000000000e+00j)  (-1.428825025413696492e+00+2.208120688844026624e-01j)
 (4.080117700998871326e+08+0.000000000000000000e+00j)  (4.486034275073110145e+00-7.208870670093032729e+00j)
 (4.100118277964552045e+08+0.000000000000000000e+00j)  (-7.230191533315554198e-01-1.492421927823689032e+01j)
 (4.120118854930232763e+08+0.000000000000000000e+00j)  (-9.650015752995484419e+00-1.230100242899934315e+01j)
 (4.140119431895913482e+08+0.000000000000000000e+00j)  (-1.003367986984988747e+01-2.984096619697457431e+00j)
 (4.160120008861594200e+08+0.000000000000000000e+00j)  (-1.483711822270428637e+00+3.955366516296099366e-01j)
 (4.180120585827274919e+08+0.000000000000000000e+00j)  (4.273130249475904030e+00-6.452785852141915690e+00j)
 (4.200121162792955637e+08+0.000000000000000000e+00j)  (-4.335924648543259541e-01-1.386059528288176246e+01j)
 (4.220121739758636355e+08+0.000000000000000000e+00j)  (-8.916110584932372518e+00-1.162394908476705879e+01j)
 (4.240122316724317074e+08+0.000000000000000000e+00j)  (-9.517479242145141072e+00-2.846073761820461012e+00j)
 (4.260122893689997792e+08+0.000000000000000000e+00j)  (-1.524267751140047977e+00+5.648127905412120286e-01j)
 (4.280123470655678511e+08+0.000000000000000000e+00j)  (4.104631798052134073e+00-5.767028117519737762e+00j)
 (4.300124047621359229e+08+0.000000000000000000e+00j)  (-1.516948135999970082e-01-1.291225749127298172e+01j)
 (4.320124624587039948e+08+0.000000000000000000e+00j)  (-8.248284461065638951e+00-1.102590923050928673e+01j)
 (4.340125201552720666e+08+0.000000000000000000e+00j)  (-9.053256594055374862e+00-2.720043132185371082e+00j)
 (4.360125778518401980e+08+0.000000000000000000e+00j)  (-1.552190238979786807e+00+7.316629267237859668e-01j)
 (4.380126355484082699e+08+0.000000000000000000e+00j)  (3.976079572391707728e+00-5.138236045884301717e+00j)
 (4.400126932449763417e+08+0.000000000000000000e+00j)  (1.271232802269525175e-01-1.206086759230870165e+01j)
 (4.420127509415444136e+08+0.000000000000000000e+00j)  (-7.634738418740735888e+00-1.049570099177832283e+01j)
 (4.440128086381124854e+08+0.000000000000000000e+00j)  (-8.633412431754940997e+00-2.604009337391843815e+00j)
 (4.460128663346805573e+08+0.000000000000000000e+00j)  (-1.569289726979973043e+00+8.989067848922500659e-01j)
 (4.480129240312486291e+08+0.000000000000000000e+00j)  (3.883888282163019401e+00-4.555058320307947106e+00j)
 (4.500129817278167009e+08+0.000000000000000000e+00j)  (4.067678056069053971e-01-1.129125149839677178e+01j)
 (4.520130394243847728e+08+0.000000000000000000e+00j)  (-7.065680596870055119e+00-1.002414450074552477e+01j)
 (4.540130971209528446e+08+0.000000000000000000e+00j)  (-8.251702452490942363e+00-2.496162113088223222e+00j)
 (4.560131548175209165e+08+0.000000000000000000e+00j)  (-1.576867264749162389e+00+1.069202390587105089e+00j)
 (4.580132125140889883e+08+0.000000000000000000e+00j)  (3.825537288957692628e+00-4.007965136148773588e+00j)
 (4.600132702106570601e+08+0.000000000000000000e+00j)  (6.907826408652645300e-01-1.059103794892714667e+01j)
 (4.620133279072251320e+08+0.000000000000000000e+00j)  (-6.533133182946108342e+00-9.603797065002208200e+00j)
 (4.640133856037932038e+08+0.000000000000000000e+00j)  (-7.903290694484605083e+00-2.394655895214020447e+00j)
 (4.660134433003612757e+08+0.000000000000000000e+00j)  (-1.575963467560937969e+00+1.245582311112555685e+00j)
 (4.680135009969293475e+08+0.000000000000000000e+00j)  (3.799586380422923515e+00-3.488312439364921413e+00j)
 (4.700135586934974194e+08+0.000000000000000000e+00j)  (9.829329890822002813e-01-9.949774745721228442e+00j)
 (4.720136163900654912e+08+0.000000000000000000e+00j)  (-6.030077889012830816e+00-9.228624707649027314e+00j)
 (4.740136740866335630e+08+0.000000000000000000e+00j)  (-7.584211432850939794e+00-2.297795514938111072e+00j)
 (4.760137317832016349e+08+0.000000000000000000e+00j)  (-1.567352221113330613e+00+1.431270816238802590e+00j)
 (4.780137894797697067e+08+0.000000000000000000e+00j)  (3.805483237349787995e+00-2.988144449550982795e+00j)
 (4.800138471763377786e+08+0.000000000000000000e+00j)  (1.287224060750868704e+00-9.358476601633013203e+00j)
 (4.820139048729058504e+08+0.000000000000000000e+00j)  (-5.550196919321206401e+00-8.893643411413737709e+00j)
 (4.840139625694739223e+08+0.000000000000000000e+00j)  (-7.291122858215731029e+00-2.203879598016809993e+00j)
 (4.860140202660419941e+08+0.000000000000000000e+00j)  (-1.551437036777028489e+00+1.629806199707839243e+00j)
 (4.880140779626101255e+08+0.000000000000000000e+00j)  (3.843635103884053716e+00-2.499989253107337106e+00j)
 (4.900141356591781974e+08+0.000000000000000000e+00j)  (1.608030500552942055e+00-8.809429195731414808e+00j)
 (4.920141933557462692e+08+0.000000000000000000e+00j)  (-5.087793221433460467e+00-8.594809677844695628e+00j)
 (4.940142510523143411e+08+0.000000000000000000e+00j)  (-7.021385838143945790e+00-2.111038276246014256e+00j)
